time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2014-09-16,5.2,5.04,5.2,18195.21,93402.49,5.07,direct,
2014-09-17,5.18,5.0,5.07,28809.34,146485.74,5.06,direct,
2014-09-18,5.1,4.61,5.06,30574.76,153391.52,4.72,direct,
2014-09-19,4.78,4.29,4.72,48370.49,212462.29,4.37,direct,
2014-09-20,4.63,4.17,4.37,92356.76,410116.58,4.28,direct,
2014-09-21,4.34,4.17,4.28,46784.55,198904.28,4.26,direct,
2014-09-22,4.47,4.248,4.26,40188.49,173491.45,4.289,direct,
2014-09-23,4.89,4.19,4.289,66150.21,291660.82,4.81,direct,
2014-09-24,4.82,4.65,4.81,117714.68,554600.14,4.69,direct,
2014-09-25,4.71,4.44,4.69,70235.76,319161.8,4.54,direct,
2014-09-26,4.57,4.39,4.54,105615.84,471520.37,4.45,direct,
2014-09-27,4.52,4.39,4.45,222767.06,989905.84,4.42,direct,
2014-09-28,4.47,4.19,4.42,375280.01,1627677.64,4.23,direct,
2014-09-29,4.37,4.19,4.23,642344.8,2745329.64,4.24,direct,
2014-09-30,4.58,4.22,4.24,787767.64,3432242.63,4.48,direct,
2014-10-01,4.56,4.41,4.48,854563.24,3821815.09,4.45,direct,
2014-10-02,4.51,4.31,4.45,454234.05,2005949.04,4.31,direct,
2014-10-03,4.35,4.23,4.31,598734.31,2574285.05,4.26,direct,
2014-10-04,4.35,3.9,4.26,1037389.48,4237615.03,3.98,direct,
2014-10-05,4.07,3.46,3.98,1075138.4,4022751.26,3.7,direct,
2014-10-06,3.92,3.57,3.7,1716040.13,6534479.45,3.83,direct,
2014-10-07,3.97,3.68,3.83,1436309.92,5494821.25,3.84,direct,
2014-10-08,3.93,3.74,3.84,839778.25,3221979.86,3.9,direct,
2014-10-09,4.03,3.85,3.9,1128533.15,4434811.33,3.87,direct,
2014-10-10,3.93,3.77,3.87,1273330.3,4902945.57,3.81,direct,
2014-10-11,3.84,3.66,3.81,590078.41,2209929.38,3.78,direct,
2014-10-12,3.84,3.68,3.78,392535.51,1477840.31,3.82,direct,
2014-10-13,3.88,3.78,3.82,623807.29,2389505.94,3.86,direct,
2014-10-14,4.24,3.85,3.86,1069716.7,4328840.12,4.07,direct,
2014-10-15,4.09,3.99,4.07,776930.95,3135683.04,4.05,direct,
2014-10-16,4.1,3.96,4.05,597594.34,2401876.21,4.0,direct,
2014-10-17,4.02,3.95,4.0,661132.36,2637908.57,4.0,direct,
2014-10-18,4.09,3.94,4.0,308631.22,1241445.72,4.06,direct,
2014-10-19,4.07,3.96,4.06,205904.1,828299.16,3.99,direct,
2014-10-20,3.99,3.87,3.99,310569.72,1219721.49,3.92,direct,
2014-10-21,3.96,3.89,3.92,316287.69,1241902.63,3.94,direct,
2014-10-22,3.96,3.82,3.94,300356.68,1164486.45,3.84,direct,
2014-10-23,3.86,3.72,3.84,536883.11,2020583.96,3.74,direct,
2014-10-24,3.78,3.72,3.74,761447.3,2853936.69,3.73,direct,
2014-10-25,3.76,3.62,3.73,429341.24,1581686.6,3.67,direct,
2014-10-26,3.77,3.66,3.67,363969.21,1351730.71,3.71,direct,
2014-10-27,3.91,3.7,3.71,327505.88,1242834.17,3.8,direct,
2014-10-28,3.91,3.78,3.8,303363.59,1162348.26,3.83,direct,
2014-10-29,3.84,3.73,3.83,343105.03,1293150.56,3.73,direct,
2014-10-30,3.82,3.71,3.73,441999.38,1659421.71,3.79,direct,
2014-10-31,3.8,3.74,3.79,425496.24,1604847.22,3.76,direct,
2014-11-01,3.76,3.53,3.76,336468.96,1209284.0,3.58,direct,
2014-11-02,3.64,3.54,3.58,410327.5,1467036.44,3.59,direct,
2014-11-03,3.66,3.54,3.59,324761.52,1164214.82,3.57,direct,
2014-11-04,3.61,3.52,3.57,426452.31,1523544.22,3.59,direct,
2014-11-05,3.67,3.58,3.59,551920.93,1997330.06,3.63,direct,
2014-11-06,3.66,3.61,3.63,407189.45,1479808.34,3.64,direct,
2014-11-07,3.66,3.54,3.64,419432.39,1511803.77,3.55,direct,
2014-11-08,3.58,3.52,3.55,250384.21,887616.7,3.55,direct,
2014-11-09,3.62,3.54,3.55,249617.21,894496.91,3.62,direct,
2014-11-10,3.72,3.58,3.62,589031.15,2153759.18,3.68,direct,
2014-11-11,3.7,3.63,3.68,586404.23,2153217.77,3.65,direct,
2014-11-12,4.28,3.65,3.65,892405.18,3504226.1,4.11,direct,
2014-11-13,4.46,4.0,4.11,1871051.32,7837981.07,4.14,direct,
2014-11-14,4.14,3.85,4.14,1363461.7,5388922.13,3.98,direct,
2014-11-15,4.05,3.8,3.98,563836.88,2207382.5,3.86,direct,
2014-11-16,3.9,3.81,3.86,486885.23,1880026.15,3.87,direct,
2014-11-17,4.01,3.81,3.87,631186.41,2476219.07,3.86,direct,
2014-11-18,3.91,3.74,3.86,805646.88,3078559.28,3.79,direct,
2014-11-19,3.85,3.76,3.79,481192.89,1826467.91,3.81,direct,
2014-11-20,3.82,3.58,3.81,538589.22,1974850.0,3.6,direct,
2014-11-21,3.61,3.47,3.6,741784.1,2608578.82,3.5,direct,
2014-11-22,3.62,3.48,3.5,380934.54,1346610.22,3.51,direct,
2014-11-23,3.61,3.503,3.51,254327.59,901020.23,3.581,direct,
2014-11-24,3.696,3.558,3.581,563919.08,2047571.1,3.632,direct,
2014-11-25,3.705,3.528,3.632,806222.57,2925973.04,3.578,direct,
2014-11-26,3.588,3.526,3.578,558975.85,1987272.65,3.556,direct,
2014-11-27,3.577,3.545,3.556,379428.95,1351361.61,3.556,direct,
2014-11-28,3.65,3.485,3.556,345379.67,1226569.62,3.596,direct,
2014-11-29,3.646,3.565,3.596,492113.89,1772069.95,3.585,direct,
2014-11-30,3.616,3.557,3.585,237362.67,851237.27,3.566,direct,
2014-12-01,3.606,3.563,3.566,254618.46,911742.22,3.584,direct,
2014-12-02,3.679,3.572,3.584,386402.46,1395699.93,3.618,direct,
2014-12-03,3.677,3.568,3.618,348809.77,1261896.7,3.618,direct,
2014-12-04,3.64,3.59,3.618,458124.13,1654421.87,3.6,direct,
2014-12-05,3.63,3.58,3.6,455802.43,1645242.41,3.62,direct,
2014-12-06,3.64,3.6,3.62,286639.11,1037142.35,3.62,direct,
2014-12-07,3.8,3.61,3.62,192682.87,715969.84,3.72,direct,
2014-12-08,3.77,3.67,3.72,287656.35,1067524.1,3.68,direct,
2014-12-09,3.69,3.44,3.68,675855.84,2405351.32,3.53,direct,
2014-12-10,3.55,3.47,3.53,438714.73,1545276.08,3.5,direct,
2014-12-11,3.61,3.44,3.5,534729.7,1875890.69,3.48,direct,
2014-12-12,3.51,3.45,3.48,392712.28,1366913.85,3.49,direct,
2014-12-13,3.5,3.45,3.49,471848.86,1639061.74,3.48,direct,
2014-12-14,3.5,3.46,3.48,294359.92,1024198.41,3.48,direct,
2014-12-15,3.48,3.44,3.48,498404.27,1724375.69,3.45,direct,
